fips,name,pop2010,pop2020,pctchg
1300030732,Forsyth,3850,4130,7.27
1700027624,Frankfort village,17808,19373,8.79
2100032428,Gratz,78,77,-1.28
2600030340,Franklin village,3150,3246,3.05
2100018424,Crestview,470,494,5.11
1300031908,Gainesville,34035,43232,27.02
5500028625,Genoa village,264,261,-1.14
3000030400,Geraldine town,255,249,-2.35
1700018940,Deer Creek village,704,663,-5.82
5400030772,Gilbert town,446,387,-13.23
500026980,Gillett,681,680,-0.15
3900034384,Harveysburg village,547,567,3.66
5600032435,Glenrock town,2641,2575,-2.5
800030780,Glenwood Springs,9580,9930,3.65
2500026150,Gloucester,28789,30430,5.7
4800030044,Goldsmith,257,294,14.4
1700019616,De Soto village,1585,1502,-5.24
100015136,Clanton,8640,8794,1.78
2000027200,Grainfield,274,244,-10.95
1800029718,Greensburg,11489,11891,3.5
1200027256,Grant-Valkaria town,3845,4286,11.47
1700031165,Grayville,1668,1565,-6.18
5500002500,Arcadia,2946,3040,3.19
4800030920,Greenville,25529,28827,12.92
4200023440,Elverson borough,1225,1308,6.78
100032536,Gu-Win town,174,174,0
1900012000,Cedar Rapids,126580,133562,5.52
3800034180,Hague,71,63,-11.27
1200028400,Haines City,20404,26009,27.47
3400029070,Haledon borough,8322,8293,-0.35
3900035864,Holiday City village,48,47,-2.08
1200028575,Hampton,503,502,-0.2
3600032402,Harrison village,27458,28943,5.41
1900034410,Harcourt,303,278,-8.25
3900086772,Xenia,25643,26947,5.09
3800087740,Wyndmere,429,406,-5.36
4600072820,Worthing,877,1007,14.82
2100084486,Woodland Hills,719,738,2.64
4600072620,Wood town,62,63,1.61
4800079624,Wimberley,2620,3232,23.36
4800079612,Wilson,489,490,0.2
4800080188,Woodson town,264,241,-8.71
3600082750,Woodbury village,10691,11089,3.72
2700070420,Willmar,19578,19869,1.49
5300078925,Wilkeson town,482,514,6.64
3900086184,Wintersville village,3924,3669,-6.5
1900084900,What Cheer,646,624,-3.41
5500086450,Weyerhaeuser village,238,215,-9.66
3400080270,Westwood borough,10928,11078,1.37
5000085900,Woodstock village,893,858,-3.92
1700080281,Westfield village,601,558,-7.15
600084410,West Hollywood,34351,36475,6.18
500076010,Winchester town,164,159,-3.05
4200082296,Wernersville borough,2749,2799,1.82
1200075812,Wellington village,56697,65398,15.35
5300079380,Winthrop town,403,472,17.12
3900081858,Waterville,5512,5539,0.49
2700068548,Watertown,4215,4529,7.45
200083080,Wasilla,7806,10838,38.84
3100051595,Washington village,150,157,4.67
100079944,Warrior,3176,3210,1.07
5500088500,Wonewoc village,826,788,-4.6
800082735,Ward town,150,161,7.33
3100051070,Wakefield,1460,1363,-6.64
3200083730,West Wendover,4410,4273,-3.11
3700073660,Whiteville,5371,5299,-1.34
3600070123,Speculator village,320,299,-6.56
2900073978,Truesdale,732,886,21.04
3100047920,Sutherland village,1370,1320,-3.65
3900083384,West Farmington village,517,484,-6.38
5500078750,Sussex village,10541,10981,4.17
600077364,Susanville,17943,15010,-16.35
3900075574,Summitville village,132,123,-6.82
3400080120,Westville borough,4287,4144,-3.34
1700073495,Sullivan,4450,4433,-0.38
1200076600,West Palm Beach,100665,111955,11.22
2700062104,Spring Valley,2480,2410,-2.82
3900075014,Streetsboro,16023,16478,2.84
2800072040,Sylvarena village,109,104,-4.59
100078232,Valley Grande,4026,3570,-11.33
2800072360,Taylor village,319,444,39.18
600064140,St. Helena,5816,6102,4.92
4600057140,St. Francis town,536,566,5.6
1900070095,St. Marys,127,127,0
4000072750,Temple town,1002,907,-9.48
100083400,Woodland town,184,182,-1.09
4600060660,Springfield,1988,1922,-3.32
1800084410,Williamsport town,1905,1852,-2.78
1700072624,Steward village,256,241,-5.86
3600075627,Tully village,869,853,-1.84
5500084250,Waukesha,71223,72299,1.51
100081336,West Jefferson town,437,421,-3.66
2600088900,Wyandotte,25883,24859,-3.96
1900075405,Stockport,296,276,-6.76
1800074582,Switz City town,300,289,-3.67
1700081256,White Hall,2520,2329,-7.58
2900079820,Wildwood,35305,35432,0.36
4800077332,West,2804,2986,6.49
1900074910,Stanhope,429,396,-7.69
100084096,York,2538,2239,-11.78
800083230,Wellington town,6389,10437,63.36
4100069600,Springfield,59413,63230,6.42
1600085240,Wardner,177,176,-0.56
3600064639,St. Johnsville village,1749,1676,-4.17
5500077550,Stoddard village,780,830,6.41
4200074184,Stillwater borough,209,205,-1.91
2900071098,Strasburg,141,142,0.71
500061970,St. Francis,252,228,-9.52
2900065000,St. Louis,319289,300576,-5.86
1900075135,State Center,1468,1436,-2.18
1700080060,West Chicago,27221,26816,-1.49
1700066833,St. Francisville,697,622,-10.76
1900084765,West Union,2477,2305,-6.94
3000075475,Twin Bridges town,364,417,14.56
1900080580,Ventura,717,713,-0.56
3900076428,Terrace Park village,2253,2295,1.86
1900077520,Terril,368,336,-8.7
2800072680,Terry town,1063,1227,15.43
2100079068,Vanceburg,1474,1400,-5.02
3600076386,Upper Nyack village,2065,2175,5.33
2400079350,Union Bridge town,975,963,-1.23
2500076030,Westfield,41090,41204,0.28
1900078825,Treynor,923,965,4.55
2900076157,Village of Four Seasons village,2213,2294,3.66
1200077675,Wildwood,5030,7276,44.65
1900081840,Walford,1459,1445,-0.96
2000071950,Udall,753,707,-6.11
2800076560,Verona,2988,3232,8.17
4200077808,Tunnelhill borough,361,331,-8.31
500070340,Tupelo town,186,169,-9.14
500070760,Ulm town,170,155,-8.82
1700083505,Worden village,1070,1041,-2.71
1900082740,Waukon,3904,3625,-7.15
1700076199,Troy,9949,10375,4.28
4600066700,Vermillion,10578,10926,3.29
4200079644,Valley-Hi borough,15,15,0
3900081032,Warsaw village,696,693,-0.43
4800075428,Victoria,62624,66916,6.85
600082590,Victorville,115899,122385,5.6
3600078850,Wayland village,1869,1764,-5.62
5500074575,Solon Springs village,600,592,-1.33
1300071660,Social Circle,4210,4544,7.93
2700060808,Slayton,2155,1974,-8.4
800070580,Silverton town,637,663,4.08
1300070428,Shiloh,441,486,10.2
4800067496,Sherman,38852,44002,13.26
3700061200,Shelby,20363,20026,-1.65
2000064325,Sharon,158,144,-8.86
1200065425,Shalimar town,721,836,15.95
3900052752,Mount Healthy,6806,6736,-1.03
2600047800,Lincoln Park,38085,36321,-4.63
1200048900,Noma town,209,205,-1.91
2700033344,Kingston,161,162,0.62
4200050232,Modena borough,537,530,-1.3
1300050848,Menlo,474,456,-3.8
1700049048,Milford village,1314,1171,-10.88
4200049128,Middletown borough,8942,9594,7.29
2100051924,Middlesborough,10190,9084,-10.85
400055560,Pima town,2375,2558,7.71
3900049840,Middletown,48696,48807,0.23
2900052760,Norborne,708,647,-8.62
1900040665,Kensett,266,256,-3.76
4800037468,Jayton,530,502,-5.28
4200048448,Mechanicsville borough,458,435,-5.02
100041968,Leeds,11772,12040,2.28
1700069277,Sheridan village,2136,2520,17.98
400055980,Pinetop-Lakeside town,4282,4469,4.37
1900044670,Lester,294,302,2.72
5300053720,Pateros,678,714,5.31
1800055710,Oakland City,2417,2404,-0.54
